"year","category","birthyear","gender","name"
"1901","peace","1822","M","Frédéric Passy"
"1909","peace","1829","M","Auguste Beernaert"
"1910","literature","1830","M","Paul Heyse"
"1904","literature","1830","M","Frédéric Mistral"
"1903","literature","1832","M","Bjørnstjerne Bjørnson"
"1907","peace","1833","M","Ernesto Moneta"
"1902","peace","1833","M","Élie Ducommun"
"1906","literature","1835","M","Giosuè Carducci"
"1908","peace","1837","M","Fredrik Bajer"
"1911","peace","1838","M","Tobias Asser"
"1901","literature","1839","M","Sully Prudhomme"
"1909","medicine","1841","M","Emil Kocher"
"1927","peace","1841","M","Ferdinand Buisson"
"1905","medicine","1843","M","Robert Koch"
"1906","medicine","1843","M","Camillo Golgi"
"1902","peace","1843","M","Charles Gobat"
"1908","peace","1844","M","Klas Arnoldson"
"1921","literature","1844","M","Anatole France"
"1912","peace","1845","M","Elihu Root"
"1908","physics","1845","M","Gabriel Lippmann"
"1919","literature","1845","M","Carl Spitteler"
"1907","medicine","1845","M","Charles Laveran"
"1901","physics","1845","M","Wilhelm Röntgen"
"1908","literature","1846","M","Rudolf Eucken"
"1905","literature","1846","M","Henryk Sienkiewicz"
"1910","chemistry","1847","M","Otto Wallach"
"1904","medicine","1849","M","Ivan Pavlov"
"1913","medicine","1850","M","Charles Richet"
"1909","physics","1850","M","Karl Braun"
"1920","peace","1851","M","Léon Bourgeois"
"1906","chemistry","1852","M","Henri Moissan"
"1907","physics","1852","M","Albert Michelson"
"1902","chemistry","1852","M","Hermann Fischer"
"1902","physics","1853","M","Hendrik Lorentz"
"1910","medicine","1853","M","Albrecht Kossel"
"1909","chemistry","1853","M","Wilhelm Ostwald"
"1908","medicine","1854","M","Paul Ehrlich"
"1925","literature","1856","M","George Shaw"
"1929","peace","1856","M","Frank Kellogg"
"1902","medicine","1857","M","Ronald Ross"
"1917","literature","1857","M","Henrik Pontoppidan"
"1927","medicine","1857","M","Julius Wagner-Jauregg"
"1917","literature","1857","M","Karl Gjellerup"
"1906","peace","1858","M","Theodore Roosevelt"
"1927","peace","1858","M","Ludwig Quidde"
"1909","literature","1858","F","Selma Lagerlöf"
"1918","physics","1858","M","Max Planck"
"1929","medicine","1858","M","Christiaan Eijkman"
"1927","literature","1859","M","Henri Bergson"
"1920","literature","1859","M","Knut Hamsun"
"1903","physics","1859","M","Pierre Curie"
"1903","chemistry","1859","M","Svante Arrhenius"
"1931","peace","1860","F","Jane Addams"
"1907","chemistry","1860","M","Eduard Buchner"
"1903","medicine","1860","M","Niels Finsen"
"1924","medicine","1860","M","Willem Einthoven"
"1922","peace","1861","M","Fridtjof Nansen"
"1913","literature","1861","M","Rabindranath Tagore"
"1920","physics","1861","M","Charles Guillaume"
"1926","peace","1862","M","Aristide Briand"
"1912","literature","1862","M","Gerhart Hauptmann"
"1911","medicine","1862","M","Allvar Gullstrand"
"1931","peace","1862","M","Nicholas Butler"
"1915","physics","1862","M","William Bragg"
"1934","peace","1863","M","Arthur Henderson"
"1931","literature","1864","M","Erik Karlfeldt"
"1911","peace","1864","M","Alfred Fried"
"1920","chemistry","1864","M","Walther Nernst"
"1911","physics","1864","M","Wilhelm Wien"
"1907","literature","1865","M","Rudyard Kipling"
